"localName","numberOfReviews","website","locationString","image","address"
"‪Jeddah Flagpole‬","514",,"جدة, منطقة مكة المكرمة","https://media-cdn.tripadvisor.com/media/photo-o/0b/e2/8c/76/photo1jpg.jpg","‪Jeddah Square‬, جدة 22237 المملكة العربية السعودية"
"‪The Seven Mosques‬","92",,"المدينة المنورة, منطقة المدينة المنورة","https://media-cdn.tripadvisor.com/media/photo-o/0e/30/0b/f8/the-seven-mosques.jpg","‪Khalid Ibn Al Walid Rd‬, المدينة المنورة 42312 المملكة العربية السعودية"
"‪Mount Arafat‬","100","http://www.mzahidtravel.com","مكة المكرمة, منطقة مكة المكرمة","https://media-cdn.tripadvisor.com/media/photo-o/0d/cb/5a/85/mosque-of-arafat.jpg","مكة المكرمة المملكة العربية السعودية"
"‪Tahlia Street‬","142",,"الرياض, منطقة الرياض","https://media-cdn.tripadvisor.com/media/photo-o/08/c6/f5/2e/open-art-show-in-tahliah.jpg","‪Tahlia Street‬, الرياض 12241 المملكة العربية السعودية"
"مركز الفيصلية","663",,"الرياض, منطقة الرياض","https://media-cdn.tripadvisor.com/media/photo-o/02/6b/ae/53/inside-the-complex.jpg","‪King Fahad Road‬, الرياض 12212 المملكة العربية السعودية"
"بارك الملك عبد الله ","309",,"الرياض, منطقة الرياض","https://media-cdn.tripadvisor.com/media/photo-o/0f/44/44/6d/park.jpg","الامين عبد الله العلي النعيم, الرياض 12836 المملكة العربية السعودية"
"متحف دار المدينة","101",,"المدينة المنورة, منطقة المدينة المنورة","https://media-cdn.tripadvisor.com/media/photo-o/19/f6/9e/ab/dar-almadinah-museum.jpg","صفوان بن مالك التميمي Al Mabuth, المدينة المنورة 42362 المملكة العربية السعودية"
"النخيل مول","290","http://www.arabiancentres.com/mall/index/ar/2/al-nakheel-mall/","الرياض, منطقة الرياض","https://media-cdn.tripadvisor.com/media/photo-o/0e/0b/9d/78/water-and-lights.jpg","طريق الامام سعود بن عبدالعزيز بن محمد Al Mughrizat, الرياض 124856121 المملكة العربية السعودية"
"قطار الحرمين السريع","244","http://sar.hhr.sa/sites/sro/Pages/home.aspx","مكة المكرمة, منطقة مكة المكرمة","https://media-cdn.tripadvisor.com/media/photo-o/16/39/ed/e0/mecca-metro-station.jpg","مكة المكرمة المملكة العربية السعودية"
"‪Makkah Mall‬","129","http://makkamall.com","مكة المكرمة, منطقة مكة المكرمة","https://media-cdn.tripadvisor.com/media/photo-o/11/82/f9/6c/20171213-171516-largejpg.jpg","‪King Abullah Ibn Abdul Aziz Rd‬, مكة المكرمة 24242 المملكة العربية السعودية"
"‪Edge of The World‬","389",,"الرياض, منطقة الرياض","https://media-cdn.tripadvisor.com/media/photo-w/1b/c0/a2/57/getlstd-property-photo.jpg","الرياض 11613 المملكة العربية السعودية"
"‪Red Sea Mall‬","950",,"جدة, منطقة مكة المكرمة","https://media-cdn.tripadvisor.com/media/photo-o/03/e0/ae/a9/lovely-skylight.jpg","‪King Abdulaziz Road‬, جدة 21146 المملكة العربية السعودية"
"‪Mount Uhud‬","573",,"المدينة المنورة, منطقة المدينة المنورة","https://media-cdn.tripadvisor.com/media/photo-o/0c/d6/59/56/the-gap-in-the-rock-of.jpg","المدينة المنورة المملكة العربية السعودية"
"مسجد القبلتين","481",,"المدينة المنورة, منطقة المدينة المنورة","https://media-cdn.tripadvisor.com/media/photo-m/1280/13/d1/7d/b0/pic-5.jpg","‪Al Qiblatayn‬, المدينة المنورة 42312 المملكة العربية السعودية"
"‪Jannatul Baqi‬","281","http://www.facebook.com/NationalMemorial","المدينة المنورة, منطقة المدينة المنورة","https://media-cdn.tripadvisor.com/media/photo-o/12/af/e3/ea/img-20180403-164037-largejpg.jpg","Southeast of the Masjid al-Nabawi, المدينة المنورة المملكة العربية السعودية"
"‪Hegra‬","330","https://experiencealula.com/en/Pages/default.aspx","العلا, منطقة المدينة المنورة","https://media-cdn.tripadvisor.com/media/photo-m/1280/1b/73/0d/2f/one-of-alula-s-most-famous.jpg","العلا المملكة العربية السعودية"
"واجهة روشن البحرية","829",,"جدة, منطقة مكة المكرمة","https://media-cdn.tripadvisor.com/media/photo-o/06/65/1b/4b/jeddah-cornish.jpg","‪Ash Shati‬, جدة 23511 المملكة العربية السعودية"
"‪Al-Balad‬","1102",,"جدة, منطقة مكة المكرمة","https://media-cdn.tripadvisor.com/media/photo-o/01/7f/8e/c2/une-mosquee-a-l-entree.jpg","جدة 21481 المملكة العربية السعودية"
"‪Safa to Marwa‬","987",,"مكة المكرمة, منطقة مكة المكرمة","https://media-cdn.tripadvisor.com/media/photo-o/0e/35/8d/99/safa-to-marwa.jpg","‪Masjid Al Haram‬, مكة المكرمة 24231 المملكة العربية السعودية"
"نافورة الملك فهد","1254","https://www.visitsaudi.com/en/do/family-activities/visit-king-fahd-s-fountain","جدة, منطقة مكة المكرمة","https://media-cdn.tripadvisor.com/media/photo-o/0a/d3/4e/25/illuminate-the-fountain.jpg","جدة المملكة العربية السعودية"
"‪Masjid Quba‬","958","http://www.islamiclandmarks.com/madinah-other/masjid-quba","المدينة المنورة, منطقة المدينة المنورة","https://media-cdn.tripadvisor.com/media/photo-o/07/ae/91/43/mosquee-de-quba.jpg","طريق الملك فيصل Al Khatim, المدينة المنورة 42318 المملكة العربية السعودية"
